"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2015","2.3850","2.3975","2.4250","2.3519","","0.21%"
"11/01/2015","2.3800","2.3873","2.4107","2.3657","","-0.42%"
"10/01/2015","2.3900","2.3800","2.4202","2.3456","","0.42%"
"09/01/2015","2.3800","2.3670","2.4700","2.3320","","1.30%"
"08/01/2015","2.3495","2.2823","2.4500","2.2717","","2.94%"
"07/01/2015","2.2823","2.2570","2.2873","2.2427","","1.12%"
"06/01/2015","2.2570","2.3015","2.3080","2.2283","","-1.93%"
"05/01/2015","2.3015","2.3250","2.3893","2.2325","","-1.01%"
"04/01/2015","2.3250","2.2445","2.3303","2.2375","","3.59%"
"03/01/2015","2.2445","2.1450","2.2450","2.0875","","4.49%"
"02/01/2015","2.1481","2.0277","2.3185","1.9945","","5.91%"
"01/01/2015","2.0282","1.8827","2.0735","1.8775","","7.73%"
"12/01/2014","1.8827","1.8348","1.9385","1.8075","","3.08%"
"11/01/2014","1.8265","1.7502","1.8355","1.7460","","4.69%"
"10/01/2014","1.7446","1.7491","1.7545","1.7472","","0.04%"
"09/01/2014","1.7439","1.7313","1.7545","1.7295","","1.11%"
"08/01/2014","1.7247","1.7219","1.7335","1.7205","","0.61%"
"07/01/2014","1.7142","1.7606","1.7674","1.7215","","-2.55%"
"06/01/2014","1.7590","1.7699","1.7706","1.7565","","-0.33%"
"05/01/2014","1.7648","1.7661","1.7706","1.7485","","0.27%"
"04/01/2014","1.7601","1.7429","1.7685","1.7425","","1.33%"
"03/01/2014","1.7370","1.7397","1.7515","1.7215","","0.18%"
"02/01/2014","1.7339","1.7820","1.8077","1.6750","","-2.36%"
"01/01/2014","1.7758","1.7350","1.7902","1.7345","","2.67%"
"12/01/2013","1.7297","1.6951","1.7398","1.6945","","2.35%"
"11/01/2013","1.6900","1.6715","1.6965","1.6705","","1.43%"
"10/01/2013","1.6661","1.6631","1.6740","1.6605","","0.51%"
"09/01/2013","1.6576","1.6601","1.6695","1.6565","","0.17%"
"08/01/2013","1.6548","1.6552","1.6719","1.6535","","0.34%"
"07/01/2013","1.6492","1.6508","1.6603","1.6505","","0.25%"
"06/01/2013","1.6451","1.6423","1.6761","1.6416","","1.29%"
"05/01/2013","1.6242","1.6511","1.6532","1.6254","","-1.29%"
"04/01/2013","1.6454","1.6570","1.6609","1.6431","","-0.74%"
"03/01/2013","1.6577","1.6542","1.6650","1.6494","","0.54%"
"02/01/2013","1.6488","1.6551","1.6625","1.6505","","-0.04%"
"01/01/2013","1.6494","1.6578","1.6635","1.6545","","-0.20%"
"12/01/2012","1.6527","1.6598","1.6655","1.6495","","-0.13%"
"11/01/2012","1.6548","1.6588","1.6705","1.6510","","0.05%"
"10/01/2012","1.6540","1.6589","1.6674","1.6550","","0.01%"
"09/01/2012","1.6538","1.6550","1.6625","1.6445","","0.25%"
"08/01/2012","1.6497","1.6512","1.6595","1.6376","","0.27%"
"07/01/2012","1.6453","1.6390","1.6701","1.6390","","0.50%"
"06/01/2012","1.6371","1.6269","1.6455","1.6213","","0.95%"
"05/01/2012","1.6217","1.6327","1.6335","1.6185","","-0.37%"
"04/01/2012","1.6277","1.6403","1.6547","1.6265","","-1.24%"
"03/01/2012","1.6481","1.6637","1.6730","1.6385","","-0.94%"
"02/01/2012","1.6638","1.6643","1.6735","1.6098","","-0.06%"
"01/01/2012","1.6648","1.6541","1.6745","1.6535","","0.31%"
"12/01/2011","1.6597","1.6490","1.6855","1.6520","","0.62%"
"11/01/2011","1.6494","1.6445","1.6605","1.6495","","0.31%"
"10/01/2011","1.6443","1.6580","1.6725","1.6460","","-0.83%"
"09/01/2011","1.6580","1.6450","1.6700","1.6495","","0.79%"
"08/01/2011","1.6450","1.6350","1.6518","1.6380","","0.25%"
"07/01/2011","1.6409","1.6537","1.6860","1.6450","","-0.79%"
"06/01/2011","1.6539","1.6562","1.6730","1.6310","","-0.28%"
"05/01/2011","1.6585","1.6329","1.7240","1.6372","","1.61%"
"04/01/2011","1.6323","1.6800","1.6910","1.6280","","-2.99%"
"03/01/2011","1.6826","1.7306","1.7370","1.6791","","-3.10%"
"02/01/2011","1.7364","1.8004","1.8010","1.7360","","-3.62%"
"01/01/2011","1.8017","1.7730","1.8120","1.7730","","1.57%"
"12/01/2010","1.7738","1.7573","1.7738","1.7529","","0.63%"
"11/01/2010","1.7627","1.7760","1.7768","1.7528","","-0.72%"
"10/01/2010","1.7755","1.7951","1.8080","1.7550","","-1.44%"
"09/01/2010","1.8015","1.8257","1.8547","1.7889","","-1.75%"
"08/01/2010","1.8336","1.8250","1.8479","1.8200","","-0.08%"
"07/01/2010","1.8350","1.8317","1.8422","1.8248","","-0.07%"
"06/01/2010","1.8362","1.7961","1.8991","1.7892","","2.60%"
"05/01/2010","1.7897","1.7670","1.7953","1.7653","","1.27%"
"04/01/2010","1.7672","1.7515","1.7734","1.7354","","0.88%"
"03/01/2010","1.7518","1.7206","1.7526","1.7056","","1.72%"
"02/01/2010","1.7222","1.7330","1.7490","1.7030","","-0.83%"
"01/01/2010","1.7366","1.6974","1.7449","1.6908","","2.41%"
"12/01/2009","1.6958","1.6701","1.6963","1.6692","","1.58%"
"11/01/2009","1.6695","1.6759","1.6828","1.6638","","-0.43%"
"10/01/2009","1.6767","1.6725","1.6791","1.6591","","0.25%"
"09/01/2009","1.6725","1.6851","1.6922","1.6642","","-0.68%"
"08/01/2009","1.6840","1.6752","1.6883","1.6535","","0.54%"
"07/01/2009","1.6749","1.6492","1.6771","1.6432","","1.41%"
"06/01/2009","1.6516","1.6329","1.6799","1.6329","","-0.07%"
"05/01/2009","1.6528","1.6494","1.6559","1.6299","","0.32%"
"04/01/2009","1.6476","1.6685","1.6925","1.6425","","-1.28%"
"03/01/2009","1.6689","1.6785","1.6955","1.6225","","-1.01%"
"02/01/2009","1.6860","1.6720","1.6910","1.6700","","1.30%"
"01/01/2009","1.6644","1.6685","1.6715","1.6615","","-0.01%"
"12/01/2008","1.6645","1.6470","1.6675","1.6425","","0.95%"
"11/01/2008","1.6488","1.4264","1.6503","1.4143","","16.02%"
"10/01/2008","1.4211","1.3998","1.4247","1.3998","","1.16%"
"09/01/2008","1.4048","1.4048","1.4048","1.4048","","-0.39%"
"08/01/2008","1.4103","1.4103","1.4103","1.4103","","0.14%"
"07/01/2008","1.4083","1.4083","1.4083","1.4083","","-0.64%"
"06/01/2008","1.4174","1.4174","1.4174","1.4174","","-1.74%"
"05/01/2008","1.4425","1.4425","1.4425","1.4425","","-1.55%"
"04/01/2008","1.4652","1.4652","1.4652","1.4652","","-0.05%"
"03/01/2008","1.4660","1.4660","1.4660","1.4660","","-5.17%"
"02/01/2008","1.5459","1.5459","1.5459","1.5459","","-2.53%"
"01/01/2008","1.5861","1.5861","1.5861","1.5861","","-0.43%"
"12/01/2007","1.5930","1.5930","1.5930","1.5930","","-1.73%"
"11/01/2007","1.6210","1.6210","1.6210","1.6210","","0.02%"
"10/01/2007","1.6206","1.6206","1.6206","1.6206","","-2.27%"
"09/01/2007","1.6583","1.6583","1.6583","1.6583","","-0.17%"
"08/01/2007","1.6611","1.6611","1.6611","1.6611","","-0.33%"
"07/01/2007","1.6666","1.6666","1.6666","1.6666","","-0.08%"
"06/01/2007","1.6679","1.6679","1.6679","1.6679","","-0.62%"
"05/01/2007","1.6783","1.6783","1.6783","1.6783","","-0.56%"
"04/01/2007","1.6877","1.6877","1.6877","1.6877","","-0.55%"
"03/01/2007","1.6970","1.6970","1.6970","1.6970","","-0.87%"
"02/01/2007","1.7119","1.7119","1.7119","1.7119","","-0.29%"
"01/01/2007","1.7169","1.7169","1.7169","1.7169","","0.12%"
"12/01/2006","1.7149","1.7149","1.7149","1.7149","","-0.75%"
"11/01/2006","1.7279","1.7279","1.7279","1.7279","","-0.53%"
"10/01/2006","1.7371","1.7371","1.7371","1.7371","","0.06%"
"09/01/2006","1.7360","1.7360","1.7360","1.7360","","-0.40%"
"08/01/2006","1.7429","1.7429","1.7429","1.7429","","-1.16%"
"07/01/2006","1.7633","1.7633","1.7633","1.7633","","-0.51%"
"06/01/2006","1.7723","1.7723","1.7723","1.7723","","-1.27%"
"05/01/2006","1.7951","1.7951","1.7951","1.7951","","-1.07%"
"04/01/2006","1.8146","1.8146","1.8146","1.8146","","-0.43%"
"03/01/2006","1.8225","1.8225","1.8225","1.8225","","-0.31%"
"02/01/2006","1.8282","1.8282","1.8282","1.8282","","1.08%"
"01/01/2006","1.8086","1.8086","1.8086","1.8086","","1.53%"
"12/01/2005","1.7813","1.7813","1.7813","1.7813","","0.04%"
"11/01/2005","1.7805","1.7805","1.7805","1.7805","","-0.88%"
"10/01/2005","1.7963","1.7963","1.7963","1.7963","","0.16%"
"09/01/2005","1.7935","1.7935","1.7935","1.7935","","0.30%"
"08/01/2005","1.7881","1.7881","1.7881","1.7881","","-1.02%"
"07/01/2005","1.8066","1.8066","1.8066","1.8066","","-0.26%"
"06/01/2005","1.8114","1.8114","1.8114","1.8114","","-0.78%"
"05/01/2005","1.8256","1.8256","1.8256","1.8256","","0.11%"
"04/01/2005","1.8236","1.8236","1.8236","1.8236","","-0.60%"
"03/01/2005","1.8347","1.8347","1.8347","1.8347","","0.08%"
"02/01/2005","1.8332","1.8332","1.8332","1.8332","","0.89%"
